t,x,y,z,vx,vy,vz,speed,roll,pitch,yaw,soc,thrust,state
0.0025,-30,0,0,0,0,0,0,5.0133e-07,-7.4165e-07,-1.0808e-07,100,173.97,ARMED
0.005,-30,-1.3954e-13,0,-7.0189e-11,-4.7445e-11,0,8.472e-11,-9.1482e-06,2.3901e-05,-9.2866e-06,100,306.21,ARMED
0.0075,-30,3.0461e-12,0,2.8755e-09,1.0831e-09,0,3.0727e-09,3.3511e-06,3.4618e-05,-4.2683e-05,100,397.34,ARMED
0.01,-30,4.2128e-12,0,7.8568e-09,3.9668e-10,0,7.8668e-09,-1.6495e-05,4.8081e-05,-7.3507e-05,100,505.88,ARMED
0.0125,-30,1.3567e-11,0,1.4966e-08,3.1806e-09,0,1.5301e-08,-4.5301e-05,5.1977e-05,-7.2647e-05,100,557.73,ARMED
0.015,-30,4.8934e-11,0,2.3416e-08,1.2025e-08,0,2.6323e-08,-5.2638e-05,8.4525e-05,-6.4104e-05,99.999,665.73,ARMED
0.0175,-30,1.1357e-10,0,3.8779e-08,2.1976e-08,0,4.4573e-08,-1.1446e-05,9.9444e-05,-7.6549e-05,99.999,722.53,ARMED
0.02,-30,1.7667e-10,0,5.7063e-08,2.1453e-08,0,6.0963e-08,1.8586e-05,0.00010958,-0.00012095,99.999,784.16,ARMED
0.0225,-30,2.1643e-10,0,7.6313e-08,1.3518e-08,0,7.7501e-08,1.018e-05,0.00012416,-0.00014876,99.999,821.11,ARMED
0.025,-30,2.4153e-10,0,1.009e-07,8.5365e-09,0,1.0126e-07,1.7218e-05,0.00013209,-0.00016909,99.998,938.91,ARMED
0.0275,-30,2.4653e-10,0,1.2838e-07,1.7003e-09,0,1.2839e-07,7.9908e-06,0.00013909,-0.00018173,99.998,1044,ARMED
0.03,-30,2.4265e-10,0,1.5729e-07,-1.3219e-09,0,1.5729e-07,1.8544e-05,0.00015567,-0.00017973,99.997,1120.4,ARMED
0.0325,-30,2.1947e-10,1.1326e-07,2.2402e-07,-9.2718e-09,4.5305e-05,4.5306e-05,1.3411e-05,0.00018612,-0.0001862,99.997,1179,ARMED
0.035,-30,1.8121e-10,3.3289e-06,3.0769e-07,-1.5301e-08,0.0012863,0.0012863,6.5932e-05,0.00023994,-0.00018635,99.997,1236.4,ARMED
0.0375,-30,6.6783e-11,1.1452e-05,4.1858e-07,-4.5772e-08,0.0032494,0.0032494,0.00017907,0.00029212,-0.00020039,99.996,1271,ARMED
0.04,-30,-2.6642e-10,2.8283e-05,5.6134e-07,-1.3328e-07,0.0067323,0.0067323,0.00033853,0.00037373,-0.00023316,99.995,1344,ARMED
0.0425,-30,-1.014e-09,5.3948e-05,7.443e-07,-2.9901e-07,0.010266,0.010266,0.00054846,0.00047268,-0.00025413,99.995,1346.4,ARMED
0.045,-30,-2.4659e-09,9.1905e-05,9.8712e-07,-5.8077e-07,0.015183,0.015183,0.00083795,0.00059621,-0.00025631,99.994,1412.8,ARMED
0.0475,-30,-4.9955e-09,0.00014226,1.2938e-06,-1.0119e-06,0.020143,0.020143,0.0011582,0.00074986,-0.00026889,99.994,1414.9,ARMED
0.05,-30,-9.0409e-09,0.00020631,1.6864e-06,-1.6181e-06,0.025618,0.025618,0.0015236,0.00093704,-0.00027003,99.993,1439.6,ARMED
0.0525,-30,-1.5168e-08,0.00028733,2.1984e-06,-2.4507e-06,0.032411,0.032411,0.0019881,0.0011234,-0.00025759,99.992,1502.8,ARMED
0.055,-30,-2.415e-08,0.00038936,2.8438e-06,-3.5928e-06,0.040809,0.040809,0.0025533,0.0013038,-0.00023107,99.992,1579.9,ARMED
0.0575,-30,-3.681e-08,0.00051263,3.5951e-06,-5.0641e-06,0.049308,0.049308,0.0031844,0.0014648,-0.00021433,99.991,1584.8,ARMED
0.06,-30,-5.4227e-08,0.0006602,4.4703e-06,-6.9669e-06,0.059027,0.059027,0.0038963,0.0016442,-0.00020895,99.99,1643.3,ARMED
0.0625,-30,-7.7419e-08,0.00083138,5.4449e-06,-9.2766e-06,0.068475,0.068475,0.0046622,0.0018082,-0.00018706,99.99,1630.3,ARMED
0.065,-30,-1.0781e-07,0.0010297,6.5616e-06,-1.2156e-05,0.07934,0.07934,0.0054728,0.0019804,-0.00014983,99.989,1698.3,ARMED
0.0675,-30,-1.4667e-07,0.0012555,7.7881e-06,-1.5545e-05,0.09031,0.09031,0.006324,0.0021503,-0.00011992,99.988,1703.4,ARMED
