t,x,y,z,vx,vy,vz,speed,roll,pitch,yaw,soc,thrust,state
0.0025,0,0,0,0,0,0,0,0,-2.1204e-20,0,100,174.49,ARMED
0.005,-6.5227e-27,0,0,-2.2177e-24,0,0,2.2177e-24,0,-3.1803e-20,0,100,338.41,ARMED
0.0075,-2.6302e-26,0,0,-6.725e-24,0,0,6.725e-24,0,-3.7101e-20,0,100,492.4,ARMED
0.01,-6.46e-26,0,0,-1.3021e-23,0,0,1.3021e-23,0,4.5065e-20,0,100,637.05,ARMED
0.0125,-6.5489e-26,0,0,-3.0224e-25,0,0,3.0224e-25,0,8.6138e-20,0,99.999,772.95,ARMED
0.015,4.2748e-27,0,0,2.372e-23,0,0,2.372e-23,0,1.0667e-19,0,99.999,900.61,ARMED
0.0175,1.6253e-25,0,0,5.3807e-23,0,0,5.3807e-23,0,1.1693e-19,0,99.999,1020.5,ARMED
0.02,4.175e-25,0,0,8.6689e-23,0,0,8.6689e-23,0,1.2206e-19,0,99.998,1133.2,ARMED
0.0225,7.717e-25,0,3.241e-06,1.4168e-22,0,0.0012964,0.0012964,0,1.2463e-19,0,99.998,1239,ARMED
0.025,1.2775e-24,0,1.4901e-05,2.0233e-22,0,0.0046641,0.0046641,0,1.2719e-19,0,99.997,1338.4,ARMED
0.0275,1.9489e-24,0,3.9845e-05,2.6855e-22,0,0.0099776,0.0099776,0,1.2975e-19,0,99.997,1431.8,ARMED
0.03,2.7995e-24,0,8.2643e-05,3.4025e-22,0,0.017119,0.017119,0,1.3232e-19,0,99.996,1519.6,ARMED
0.0325,3.8429e-24,0,0.00014759,4.1732e-22,0,0.025977,0.025977,0,1.3488e-19,0,99.995,1602,ARMED
0.035,5.0921e-24,0,0.00023871,4.9969e-22,0,0.036449,0.036449,0,-3.219e-20,0,99.994,1679.4,ARMED
0.0375,6.29e-24,0,0.0003598,4.7918e-22,0,0.048436,0.048436,0,-1.9922e-19,0,99.994,1752.2,ARMED
0.04,7.1583e-24,0,0.00051442,3.4731e-22,0,0.061847,0.061847,0,-3.662e-19,0,99.993,1820.5,ARMED
0.0425,7.3992e-24,0,0.0007059,9.6351e-23,0,0.076595,0.076595,0,-5.3314e-19,0,99.992,1884.7,ARMED
0.045,6.6974e-24,0,0.0009374,-2.807e-22,0,0.092599,0.092599,0,-7.0005e-19,0,99.991,1945,ARMED
0.0475,4.7219e-24,0,0.0012119,-7.9021e-22,0,0.10978,0.10978,0,-8.669e-19,0,99.99,2001.6,ARMED
0.05,1.1271e-24,0,0.001532,-1.4379e-21,0,0.12808,0.12808,0,-1.0337e-18,0,99.989,2054.9,ARMED
0.0525,-4.4456e-24,0,0.0019006,-2.2291e-21,0,0.14741,0.14741,0,-1.2005e-18,0,99.988,2104.9,ARMED
0.055,-1.2367e-23,0,0.0023199,-3.1684e-21,0,0.16772,0.16772,0,-1.3672e-18,0,99.987,2151.8,ARMED
0.0575,-2.3017e-23,0,0.0027923,-4.2601e-21,0,0.18895,0.18895,0,-1.5339e-18,0,99.985,2195.9,ARMED
0.06,-3.6787e-23,0,0.0033199,-5.508e-21,0,0.21105,0.21105,0,-1.7006e-18,0,99.984,2237.4,ARMED
0.0625,-5.4075e-23,0,0.0039048,-6.9155e-21,0,0.23396,0.23396,0,-1.8672e-18,0,99.983,2276.3,ARMED
0.065,-7.529e-23,0,0.0045488,-8.4858e-21,0,0.25762,0.25762,0,-2.0338e-18,0,99.982,2312.9,ARMED
0.0675,-1.0084e-22,0,0.0052539,-1.0221e-20,0,0.28201,0.28201,0,-1.861e-18,0,99.98,2347.3,ARMED
0.07,-1.3042e-22,0,0.0060215,-1.1832e-20,0,0.30706,0.30706,0,-1.6883e-18,0,99.979,2379.5,ARMED
0.0725,-1.637e-22,0,0.0068534,-1.3311e-20,0,0.33275,0.33275,0,-1.1764e-18,0,99.978,2409.9,ARMED
0.075,-1.9958e-22,0,0.007751,-1.4354e-20,0,0.35903,0.35903,0,-3.2539e-19,0,99.976,2438.3,ARMED
0.0775,-2.362e-22,0,0.0087156,-1.4645e-20,0,0.38587,0.38587,0,8.6469e-19,0,99.975,2465.1,ARMED
0.08,-2.7085e-22,0,0.0097487,-1.3862e-20,0,0.41323,0.41323,0,2.0545e-18,0,99.974,2490.2,ARMED
0.0825,-3.0082e-22,0,0.010851,-1.1984e-20,0,0.44108,0.44108,0,3.244e-18,0,99.972,2513.8,ARMED
0.085,-3.233e-22,0,0.012025,-8.993e-21,0,0.46939,0.46939,0,4.0939e-18,0,99.971,2536,ARMED
0.0875,-3.3627e-22,0,0.01327,-5.1868e-21,0,0.49814,0.49814,0,4.9436e-18,0,99.969,2556.9,ARMED
0.09,-3.3765e-22,0,0.014588,-5.5545e-22,0,0.5273,0.5273,0,5.7931e-18,0,99.968,2576.5,ARMED
0.0925,-3.2538e-22,0,0.015981,4.9104e-21,0,0.55684,0.55684,0,6.6424e-18,0,99.966,2594.8,ARMED
0.095,-2.9733e-22,0,0.017447,1.1219e-20,0,0.58673,0.58673,0,7.8308e-18,0,99.965,2612.1,ARMED
0.0975,-2.5057e-22,0,0.01899,1.8703e-20,0,0.61697,0.61697,0,9.3581e-18,0,99.963,2628.3,ARMED
0.1,-1.8133e-22,0,0.020609,2.7698e-20,0,0.64752,0.64752,0,1.1224e-17,0,99.962,2643.6,ARMED
0.1025,-8.4963e-23,0,0.022305,3.8545e-20,0,0.67837,0.67837,0,1.3429e-17,0,99.96,2657.9,ARMED
0.105,4.4011e-23,0,0.024078,5.1589e-20,0,0.7095,0.7095,0,1.5973e-17,0,99.959,2671.4,ARMED
0.1075,2.1195e-22,0,0.025931,6.7177e-20,0,0.74089,0.74089,0,1.8177e-17,0,99.957,2684,ARMED
0.11,4.2444e-22,0,0.027862,8.4994e-20,0,0.77253,0.77253,0,2.038e-17,0,99.955,2695.9,ARMED
